cohort_19_in,number_in_ss_cohort,region,la_code_9,la_code_3,la_name,fsm,sen,category,value
2021,54,London,E09000020,207,Kensington and Chelsea,ALL,SEN without statements or EHC plans,l2,72.22222222
2021,600,London,E09000020,207,Kensington and Chelsea,Not eligible for FSM,ALL,l2,91.16666667
2021,121,London,E09000020,207,Kensington and Chelsea,Eligible for FSM,ALL,l2,82.6446281
2021,1537,London,E09000021,314,Kingston upon Thames,ALL,ALL,l2,89.91541965
2021,1416,London,E09000021,314,Kingston upon Thames,ALL,No SEN,l2,92.23163842
2021,51,London,E09000021,314,Kingston upon Thames,ALL,SEN with statements or EHC plans,l2,49.01960784
2021,70,London,E09000021,314,Kingston upon Thames,ALL,SEN without statements or EHC plans,l2,72.85714286
2021,1440,London,E09000021,314,Kingston upon Thames,Not eligible for FSM,ALL,l2,91.59722222
2021,97,London,E09000021,314,Kingston upon Thames,Eligible for FSM,ALL,l2,64.94845361
2021,2151,London,E09000022,208,Lambeth,ALL,ALL,l2,81.0320781
2021,1682,London,E09000022,208,Lambeth,ALL,No SEN,l2,85.79072533
2021,117,London,E09000022,208,Lambeth,ALL,SEN with statements or EHC plans,l2,41.88034188
2021,352,London,E09000022,208,Lambeth,ALL,SEN without statements or EHC plans,l2,71.30681818
2021,1645,London,E09000022,208,Lambeth,Not eligible for FSM,ALL,l2,83.76899696
2021,506,London,E09000022,208,Lambeth,Eligible for FSM,ALL,l2,72.13438735
2021,2126,London,E09000023,209,Lewisham,ALL,ALL,l2,83.8664158
2021,1787,London,E09000023,209,Lewisham,ALL,No SEN,l2,88.97593733
2021,99,London,E09000023,209,Lewisham,ALL,SEN with statements or EHC plans,l2,23.23232323
2021,240,London,E09000023,209,Lewisham,ALL,SEN without statements or EHC plans,l2,70.83333333
2021,1744,London,E09000023,209,Lewisham,Not eligible for FSM,ALL,l2,86.86926606
2021,382,London,E09000023,209,Lewisham,Eligible for FSM,ALL,l2,70.15706806
2021,1425,London,E09000024,315,Merton,ALL,ALL,l2,86.38596491
2021,1158,London,E09000024,315,Merton,ALL,No SEN,l2,91.36442142
2021,72,London,E09000024,315,Merton,ALL,SEN with statements or EHC plans,l2,34.72222222
