cohort_19_in,number_in_ss_cohort,region,la_code_9,la_code_3,la_name,fsm,value,category
2021,2169,West Midlands,E06000021,861,Stoke-on-Trent,ALL,59.84324574,l2em
2021,2864,West Midlands,E06000051,893,Shropshire,ALL,71.50837989,l2em
2021,1478,London,E09000027,318,Richmond upon Thames,ALL,77.74018945,l2em
2021,2423,London,E09000028,210,Southwark,ALL,73.62773421,l2em
2021,2538,London,E09000029,319,Sutton,ALL,82.8999212,l2em
2021,2657,London,E09000030,211,Tower Hamlets,ALL,73.57922469,l2em
2021,2622,London,E09000031,320,Waltham Forest,ALL,73.76048818,l2em
2021,1748,London,E09000032,212,Wandsworth,ALL,75.74370709,l2em
2021,1517,London,E09000033,213,Westminster,ALL,77.7191826,l2em
2021,1019,North East,E06000001,805,Hartlepool,ALL,66.92836114,l2em
2021,1336,North West,E06000006,876,Halton,ALL,66.09281437,l2em
2021,2383,North West,E06000007,877,Warrington,ALL,75.57700378,l2em
2021,1839,North West,E06000008,889,Blackburn with Darwen,ALL,73.79010332,l2em
2021,1143,North West,E06000009,890,Blackpool,ALL,59.84251969,l2em
2021,3549,North West,E06000049,895,Cheshire East,ALL,75.71146802,l2em
2021,3302,North West,E06000050,896,Cheshire West and Chester,ALL,70.10902483,l2em
2021,3012,North West,E08000001,350,Bolton,ALL,68.16069057,l2em
2021,2136,North West,E08000002,351,Bury,ALL,72.19101124,l2em
2021,4801,North West,E08000003,352,Manchester,ALL,66.04873985,l2em
2021,2991,North West,E08000004,353,Oldham,ALL,66.4994985,l2em
2021,2253,North West,E08000005,354,Rochdale,ALL,68.57523302,l2em
2021,2105,North West,E08000006,355,Salford,ALL,60.09501188,l2em
2021,2603,North West,E08000007,356,Stockport,ALL,72.57011141,l2em
2021,2529,North West,E08000008,357,Tameside,ALL,68.99960459,l2em
2021,2856,North West,E08000009,358,Trafford,ALL,82.94817927,l2em
2021,3230,North West,E08000010,359,Wigan,ALL,68.94736842,l2em
2021,933,North West,E08000011,340,Knowsley,ALL,50.80385852,l2em
2021,4538,North West,E08000012,341,Liverpool,ALL,63.28779198,l2em
2021,1702,North West,E08000013,342,St. Helens,ALL,67.74383079,l2em
2021,2808,North West,E08000014,343,Sefton,ALL,71.26068376,l2em
2021,3257,North West,E08000015,344,Wirral,ALL,73.19619282,l2em
2021,4729,North West,E10000006,909,Cumbria,ALL,71.00866991,l2em
2021,11955,North West,E10000017,888,Lancashire,ALL,72.41321623,l2em
2021,2915,South East,E06000035,887,Medway,ALL,66.31217839,l2em
2021,1043,South East,E06000036,867,Bracknell Forest,ALL,74.40076702,l2em
2021,1755,South East,E06000037,869,West Berkshire,ALL,73.61823362,l2em
2021,2796,East Midlands,E06000015,831,Derby,ALL,63.62660944,l2em
2021,3563,East Midlands,E06000016,856,Leicester,ALL,66.01178782,l2em
2021,466,East Midlands,E06000017,857,Rutland,ALL,79.82832618,l2em
2021,2334,East Midlands,E06000018,892,Nottingham,ALL,57.96915167,l2em
2021,3418,East Midlands,E06000061,940,North Northamptonshire,ALL,67.67115272,l2em
2021,3985,East Midlands,E06000062,941,West Northamptonshire,ALL,68.38143036,l2em
2021,7096,East Midlands,E10000007,830,Derbyshire,ALL,68.96843292,l2em
2021,6880,East Midlands,E10000018,855,Leicestershire,ALL,72.09302326,l2em
2021,7324,East Midlands,E10000019,925,Lincolnshire,ALL,70.01638449,l2em
2021,7784,East Midlands,E10000024,891,Nottinghamshire,ALL,69.1032888,l2em
2021,2323,East of England,E06000031,874,Peterborough,ALL,60.912613,l2em
2021,2619,East of England,E06000032,821,Luton,ALL,65.86483391,l2em
2021,2021,East of England,E06000033,882,Southend-on-Sea,ALL,75.16081148,l2em
2021,1636,East of England,E06000034,883,Thurrock,ALL,63.56968215,l2em
2021,1847,East of England,E06000055,822,Bedford,ALL,69.13914456,l2em
2021,2586,East of England,E06000056,823,Central Bedfordshire,ALL,69.18020108,l2em
2021,5483,East of England,E10000003,873,Cambridgeshire,ALL,72.60623746,l2em
2021,1093,South East,E06000038,870,Reading,ALL,67.33760293,l2em
2021,1668,South East,E06000039,871,Slough,ALL,81.47482014,l2em
2021,1496,South East,E06000040,868,Windsor and Maidenhead,ALL,78.54278075,l2em
2021,1657,South East,E06000041,872,Wokingham,ALL,79.72238986,l2em
2021,2804,South East,E06000042,826,Milton Keynes,ALL,67.2253923,l2em
2021,2207,South East,E06000043,846,Brighton and Hove,ALL,73.6746715,l2em
2021,1698,South East,E06000044,851,Portsmouth,ALL,63.48645465,l2em
2021,1913,South East,E06000045,852,Southampton,ALL,64.87192891,l2em
