cohort_19_in,number_in_ss_cohort,region,la_code_9,la_code_3,la_name,gender,fsm,sen,l2_by19,l2_with_em_by19,l3_by19,l2_em_by16,l2_em_by19_belowat16,l2_by19_rate,l2_with_em_by19_rate,l3_by19_rate,l2_em_by19_belowat16_rate
2011,1163,North East,E08000037,390,Gateshead,Male,ALL,ALL,980,701,501,534,177,84.26483233,60.27515047,43.07824592,28.13990461
2011,88217,North West,ALL,ALL,ALL,ALL,ALL,ALL,72203,53240,46653,46402,8278,81.84703629,60.35117948,52.88436469,19.79672366
2011,70096,North West,ALL,ALL,ALL,ALL,ALL,No SEN,62144,48972,42886,43199,6796,88.65555809,69.86418626,61.18180781,25.26675837
2011,3600,North West,ALL,ALL,ALL,ALL,ALL,SEN with statements or EHC plans,1208,398,394,269,165,33.55555556,11.05555556,10.94444444,4.953467427
2011,14521,North West,ALL,ALL,ALL,ALL,ALL,SEN without statements or EHC plans,8851,3870,3373,2934,1317,60.9531024,26.65105709,23.22842779,11.36618624
2011,73997,North West,ALL,ALL,ALL,ALL,Not eligible for FSM,ALL,63070,48291,42571,42358,7028,85.23318513,65.26075381,57.5307107,22.21309144
2011,14220,North West,ALL,ALL,ALL,ALL,Eligible for FSM,ALL,9133,4949,4082,4044,1250,64.22644163,34.80309423,28.70604782,12.28380503
2011,43157,North West,ALL,ALL,ALL,Female,ALL,ALL,36552,27039,24936,23936,3630,84.69541442,62.65264036,57.77973446,18.88559388
2011,45060,North West,ALL,ALL,ALL,Male,ALL,ALL,35651,26201,21717,22466,4648,79.11895251,58.14691522,48.19573901,20.57183323
2011,1635,North West,E06000006,876,Halton,ALL,ALL,ALL,1370,991,846,873,146,83.79204893,60.6116208,51.74311927,19.16010499
2011,1171,North West,E06000006,876,Halton,ALL,ALL,No SEN,1060,834,719,755,96,90.52092229,71.22117848,61.40051238,23.07692308
2011,93,North West,E06000006,876,Halton,ALL,ALL,SEN with statements or EHC plans,42,13,11,12,2,45.16129032,13.97849462,11.82795699,2.469135802
2011,371,North West,E06000006,876,Halton,ALL,ALL,SEN without statements or EHC plans,268,144,116,106,48,72.23719677,38.81401617,31.26684636,18.11320755
2011,1342,North West,E06000006,876,Halton,ALL,Not eligible for FSM,ALL,1163,888,749,791,120,86.66169896,66.16989568,55.81222057,21.77858439
2011,293,North West,E06000006,876,Halton,ALL,Eligible for FSM,ALL,207,103,97,82,26,70.64846416,35.15358362,33.10580205,12.32227488
2011,827,North West,E06000006,876,Halton,Female,ALL,ALL,694,516,470,467,59,83.91777509,62.39419589,56.83192261,16.38888889
2011,808,North West,E06000006,876,Halton,Male,ALL,ALL,676,475,376,406,87,83.66336634,58.78712871,46.53465347,21.64179104
2011,2590,North West,E06000007,877,Warrington,ALL,ALL,ALL,2204,1627,1497,1423,227,85.0965251,62.81853282,57.7992278,19.45158526
2011,2103,North West,E06000007,877,Warrington,ALL,ALL,No SEN,1929,1499,1375,1325,192,91.72610556,71.27912506,65.3827865,24.67866324
2011,149,North West,E06000007,877,Warrington,ALL,ALL,SEN with statements or EHC plans,52,14,17,9,5,34.89932886,9.395973154,11.40939597,3.571428571
2011,338,North West,E06000007,877,Warrington,ALL,ALL,SEN without statements or EHC plans,223,114,105,89,30,65.97633136,33.72781065,31.06508876,12.04819277
2011,2392,North West,E06000007,877,Warrington,ALL,Not eligible for FSM,ALL,2091,1572,1445,1379,212,87.41638796,65.71906355,60.409699,20.92793682
2011,198,North West,E06000007,877,Warrington,ALL,Eligible for FSM,ALL,113,55,52,44,15,57.07070707,27.77777778,26.26262626,9.74025974
2011,1223,North West,E06000007,877,Warrington,Female,ALL,ALL,1088,806,771,705,106,88.96156991,65.90351594,63.04170074,20.46332046
2011,1367,North West,E06000007,877,Warrington,Male,ALL,ALL,1116,821,726,718,121,81.63862473,60.05852231,53.10899781,18.6440678
2011,1885,North West,E06000008,889,Blackburn with Darwen,ALL,ALL,ALL,1578,1171,1034,1008,194,83.71352785,62.12201592,54.85411141,22.12086659
2011,1419,North West,E06000008,889,Blackburn with Darwen,ALL,ALL,No SEN,1285,1005,904,874,148,90.55673009,70.82452431,63.7068358,27.1559633
2011,64,North West,E06000008,889,Blackburn with Darwen,ALL,ALL,SEN with statements or EHC plans,19,7,4,9,0,29.6875,10.9375,6.25,0
2011,402,North West,E06000008,889,Blackburn with Darwen,ALL,ALL,SEN without statements or EHC plans,274,159,126,125,46,68.15920398,39.55223881,31.34328358,16.60649819
2011,1471,North West,E06000008,889,Blackburn with Darwen,ALL,Not eligible for FSM,ALL,1278,988,874,848,160,86.87967369,67.16519375,59.4153637,25.68218299
2011,414,North West,E06000008,889,Blackburn with Darwen,ALL,Eligible for FSM,ALL,300,183,160,160,34,72.46376812,44.20289855,38.647343,13.38582677
2011,914,North West,E06000008,889,Blackburn with Darwen,Female,ALL,ALL,775,598,540,533,76,84.79212254,65.42669584,59.0809628,19.94750656
2011,971,North West,E06000008,889,Blackburn with Darwen,Male,ALL,ALL,803,573,494,475,118,82.69824923,59.01132853,50.8753862,23.79032258
2011,1694,North West,E06000009,890,Blackpool,ALL,ALL,ALL,1339,843,795,691,182,79.04368359,49.76387249,46.93034238,18.14556331
2011,1316,North West,E06000009,890,Blackpool,ALL,ALL,No SEN,1133,773,721,646,152,86.09422492,58.73860182,54.78723404,22.68656716
2011,53,North West,E06000009,890,Blackpool,ALL,ALL,SEN with statements or EHC plans,16,4,6,3,1,30.18867925,7.547169811,11.32075472,2
2011,325,North West,E06000009,890,Blackpool,ALL,ALL,SEN without statements or EHC plans,190,66,68,42,29,58.46153846,20.30769231,20.92307692,10.24734982
2011,1354,North West,E06000009,890,Blackpool,ALL,Not eligible for FSM,ALL,1144,752,712,627,151,84.49039882,55.53914328,52.58493353,20.77028886
2011,340,North West,E06000009,890,Blackpool,ALL,Eligible for FSM,ALL,195,91,83,64,31,57.35294118,26.76470588,24.41176471,11.23188406
2011,861,North West,E06000009,890,Blackpool,Female,ALL,ALL,683,416,425,347,82,79.32636469,48.31591173,49.3612079,15.95330739
2011,833,North West,E06000009,890,Blackpool,Male,ALL,ALL,656,427,370,344,100,78.7515006,51.2605042,44.41776711,20.44989775
2011,4142,North West,E06000049,895,Cheshire East,ALL,ALL,ALL,3490,2630,2485,2342,330,84.25881217,63.4958957,59.99517141,18.33333333
2011,3615,North West,E06000049,895,Cheshire East,ALL,ALL,No SEN,3213,2517,2379,2264,288,88.87966805,69.62655602,65.80912863,21.31754256
2011,161,North West,E06000049,895,Cheshire East,ALL,ALL,SEN with statements or EHC plans,57,19,20,13,8,35.40372671,11.80124224,12.42236025,5.405405405
2011,366,North West,E06000049,895,Cheshire East,ALL,ALL,SEN without statements or EHC plans,220,94,86,65,34,60.10928962,25.68306011,23.49726776,11.29568106
2011,3903,North West,E06000049,895,Cheshire East,ALL,Not eligible for FSM,ALL,3345,2562,2431,2291,308,85.70330515,65.64181399,62.28542147,19.10669975
2011,239,North West,E06000049,895,Cheshire East,ALL,Eligible for FSM,ALL,145,68,54,51,22,60.66945607,28.45188285,22.59414226,11.70212766
2011,2101,North West,E06000049,895,Cheshire East,Female,ALL,ALL,1826,1421,1375,1306,135,86.91099476,67.63445978,65.44502618,16.98113208
2011,2041,North West,E06000049,895,Cheshire East,Male,ALL,ALL,1664,1209,1110,1036,195,81.52866242,59.23566879,54.38510534,19.40298507
2011,4350,North West,E06000050,896,Cheshire West and Chester,ALL,ALL,ALL,3550,2565,2409,2269,353,81.6091954,58.96551724,55.37931034,16.96299856
2011,3440,North West,E06000050,896,Cheshire West and Chester,ALL,ALL,No SEN,3078,2373,2211,2135,283,89.47674419,68.98255814,64.27325581,21.68582375
2011,212,North West,E06000050,896,Cheshire West and Chester,ALL,ALL,SEN with statements or EHC plans,61,19,27,11,10,28.77358491,8.962264151,12.73584906,4.975124378
2011,698,North West,E06000050,896,Cheshire West and Chester,ALL,ALL,SEN without statements or EHC plans,411,173,171,123,60,58.88252149,24.78510029,24.49856734,10.43478261
2011,3937,North West,E06000050,896,Cheshire West and Chester,ALL,Not eligible for FSM,ALL,3317,2473,2310,2197,328,84.2519685,62.81432563,58.67411735,18.85057471
2011,413,North West,E06000050,896,Cheshire West and Chester,ALL,Eligible for FSM,ALL,233,92,99,72,25,56.41646489,22.27602906,23.97094431,7.331378299
2011,2109,North West,E06000050,896,Cheshire West and Chester,Female,ALL,ALL,1801,1299,1281,1170,144,85.39592224,61.59317212,60.73968706,15.33546326
2011,2241,North West,E06000050,896,Cheshire West and Chester,Male,ALL,ALL,1749,1266,1128,1099,209,78.04551539,56.49263722,50.33467202,18.30122592
2011,3726,North West,E08000001,350,Bolton,ALL,ALL,ALL,3035,2238,2017,1894,406,81.45464305,60.06441224,54.13311863,22.16157205
2011,2823,North West,E08000001,350,Bolton,ALL,ALL,No SEN,2539,2030,1833,1760,306,89.93978038,71.90931633,64.93092455,28.78645343
2011,147,North West,E08000001,350,Bolton,ALL,ALL,SEN with statements or EHC plans,40,11,17,8,6,27.21088435,7.482993197,11.56462585,4.316546763
2011,756,North West,E08000001,350,Bolton,ALL,ALL,SEN without statements or EHC plans,456,197,167,126,94,60.31746032,26.05820106,22.08994709,14.92063492
2011,3124,North West,E08000001,350,Bolton,ALL,Not eligible for FSM,ALL,2650,2007,1811,1716,332,84.82714469,64.24455826,57.97055058,23.57954545
2011,602,North West,E08000001,350,Bolton,ALL,Eligible for FSM,ALL,385,231,206,178,74,63.95348837,38.37209302,34.2192691,17.45283019
2011,1803,North West,E08000001,350,Bolton,Female,ALL,ALL,1525,1162,1095,982,201,84.58125347,64.44814199,60.73211314,24.48233861
2011,1923,North West,E08000001,350,Bolton,Male,ALL,ALL,1510,1076,922,912,205,78.52314093,55.95423817,47.94591784,20.27695351
2011,2415,North West,E08000002,351,Bury,ALL,ALL,ALL,2021,1642,1391,1427,246,83.68530021,67.99171843,57.59834369,24.89878543
2011,2014,North West,E08000002,351,Bury,ALL,ALL,No SEN,1786,1528,1301,1357,196,88.67924528,75.86891758,64.59781529,29.8325723
2011,91,North West,E08000002,351,Bury,ALL,ALL,SEN with statements or EHC plans,47,21,17,11,10,51.64835165,23.07692308,18.68131868,12.5
2011,310,North West,E08000002,351,Bury,ALL,ALL,SEN without statements or EHC plans,188,93,73,59,40,60.64516129,30,23.5483871,15.93625498
2011,2161,North West,E08000002,351,Bury,ALL,Not eligible for FSM,ALL,1850,1533,1312,1351,206,85.60851458,70.93937992,60.71263304,25.43209877
2011,254,North West,E08000002,351,Bury,ALL,Eligible for FSM,ALL,171,109,79,76,40,67.32283465,42.91338583,31.1023622,22.47191011
2011,1180,North West,E08000002,351,Bury,Female,ALL,ALL,1021,821,737,728,104,86.52542373,69.57627119,62.45762712,23.00884956
2011,1235,North West,E08000002,351,Bury,Male,ALL,ALL,1000,821,654,699,142,80.97165992,66.47773279,52.95546559,26.49253731
2011,4944,North West,E08000003,352,Manchester,ALL,ALL,ALL,3698,2543,2197,2153,502,74.79773463,51.43608414,44.43770227,17.98638481
2011,3579,North West,E08000003,352,Manchester,ALL,ALL,No SEN,3032,2295,1972,1972,408,84.71640123,64.124057,55.09918972,25.38892346
2011,235,North West,E08000003,352,Manchester,ALL,ALL,SEN with statements or EHC plans,56,19,17,12,8,23.82978723,8.085106383,7.234042553,3.587443946
2011,1130,North West,E08000003,352,Manchester,ALL,ALL,SEN without statements or EHC plans,610,229,208,169,86,53.98230088,20.26548673,18.40707965,8.949011446
2011,3082,North West,E08000003,352,Manchester,ALL,Not eligible for FSM,ALL,2479,1833,1589,1563,335,80.43478261,59.47436729,51.55743024,22.05398288
2011,1862,North West,E08000003,352,Manchester,ALL,Eligible for FSM,ALL,1219,710,608,590,167,65.46723953,38.13104189,32.65306122,13.12893082
2011,2411,North West,E08000003,352,Manchester,Female,ALL,ALL,1888,1302,1173,1145,204,78.30775612,54.00248859,48.65201161,16.11374408
2011,2533,North West,E08000003,352,Manchester,Male,ALL,ALL,1810,1241,1024,1008,298,71.45677063,48.99328859,40.42637189,19.54098361
2011,3216,North West,E08000004,353,Oldham,ALL,ALL,ALL,2558,1881,1604,1695,276,79.539801,58.48880597,49.87562189,18.14595661
2011,2445,North West,E08000004,353,Oldham,ALL,ALL,No SEN,2133,1657,1425,1488,229,87.2392638,67.77096115,58.28220859,23.92894462
2011,97,North West,E08000004,353,Oldham,ALL,ALL,SEN with statements or EHC plans,32,11,17,8,3,32.98969072,11.34020619,17.5257732,3.370786517
2011,674,North West,E08000004,353,Oldham,ALL,ALL,SEN without statements or EHC plans,393,213,162,199,44,58.30860534,31.60237389,24.03560831,9.263157895
2011,2572,North West,E08000004,353,Oldham,ALL,Not eligible for FSM,ALL,2134,1637,1387,1488,219,82.97045101,63.64696734,53.92690513,20.20295203
2011,644,North West,E08000004,353,Oldham,ALL,Eligible for FSM,ALL,424,244,217,207,57,65.83850932,37.88819876,33.69565217,13.04347826
2011,1505,North West,E08000004,353,Oldham,Female,ALL,ALL,1242,920,856,826,123,82.52491694,61.12956811,56.87707641,18.11487482
2011,1711,North West,E08000004,353,Oldham,Male,ALL,ALL,1316,961,748,869,153,76.91408533,56.1659848,43.71712449,18.17102138
2011,2739,North West,E08000005,354,Rochdale,ALL,ALL,ALL,2109,1504,1267,1323,234,76.99890471,54.9105513,46.25775831,16.52542373
2011,2122,North West,E08000005,354,Rochdale,ALL,ALL,No SEN,1800,1375,1132,1225,198,84.82563619,64.79736098,53.34590009,22.0735786
2011,111,North West,E08000005,354,Rochdale,ALL,ALL,SEN with statements or EHC plans,26,9,10,7,2,23.42342342,8.108108108,9.009009009,1.923076923
2011,506,North West,E08000005,354,Rochdale,ALL,ALL,SEN without statements or EHC plans,283,120,125,91,34,55.92885375,23.71541502,24.70355731,8.192771084
2011,2085,North West,E08000005,354,Rochdale,ALL,Not eligible for FSM,ALL,1710,1289,1085,1145,186,82.01438849,61.82254197,52.0383693,19.78723404
2011,654,North West,E08000005,354,Rochdale,ALL,Eligible for FSM,ALL,399,215,182,178,48,61.00917431,32.87461774,27.82874618,10.08403361
2011,1373,North West,E08000005,354,Rochdale,Female,ALL,ALL,1117,798,716,713,104,81.35469774,58.12090313,52.14857975,15.75757576
2011,1366,North West,E08000005,354,Rochdale,Male,ALL,ALL,992,706,551,610,130,72.62079063,51.68374817,40.33674963,17.1957672
2011,2510,North West,E08000006,355,Salford,ALL,ALL,ALL,2020,1464,1140,1400,149,80.47808765,58.32669323,45.41832669,13.42342342
2011,2018,North West,E08000006,355,Salford,ALL,ALL,No SEN,1745,1351,1043,1297,125,86.47175421,66.94747275,51.68483647,17.3370319
2011,98,North West,E08000006,355,Salford,ALL,ALL,SEN with statements or EHC plans,28,12,11,11,2,28.57142857,12.24489796,11.2244898,2.298850575
